Violation Record Name,Test Score - School name,Proficiency,Violation counts,PSS Name,PSS_CITY,DAYS PER SCHOOL YEAR,DAY HOURS,PSS_LIBRARY,PSS_ENROLL_T,PSS_RELIG,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_STUDENT_TEACHER_RATIO,PSS_ORIENT
BAIS SHIFRA,BAIS SHIFRA,18.59%,2,, , , ,, , , , , , , , , 
BNOS MENACHEM,BNOS MENACHEM,35.40%,2,, , , ,, , , , , , , , , 
BNOS YAKOV SCHOOL,BNOS YAKOV - GIRLS,58.59%,2,, , , ,, , , , , , , , , 
CONGREGATION MACHNA SHALVA-YESHIVA KATANA OF BOBOV-45,CONGREGATION MACHNA SHALVA,30.14%,2,, , , ,, , , , , , , , , 
DARKEI CHAIM,DARKEI CHAIM,0.00%,2,, , , ,, , , , , , , , , 
MOSDOS SATMAR,MOSDOS SATMAR BP,0.00%,2,, , , ,, , , , , , , , , 
OUR LADY OF SORROWS SCHOOL,OUR LADY OF SORROWS,55.16%,2,, , , ,, , , , , , , , , 
OUR LADY QUEEN OF ANGELS(entrance 229 E.112 Street),OUR LADY QUEEN OF ANGELS,39.38%,2,, , , ,, , , , , , , , , 
ST. BRENDAN,ST BRENDAN SCHOOL,44.69%,2,, , , ,, , , , , , , , , 
ST. FRANCIS DE SALES SCHOOL FOR THE DEAF,ST FRANCIS DE SALES,64.43%,2,, , , ,, , , , , , , , , 
ST. MARK THE EVANGELIST SCHOOL,ST MARK THE EVANGELIST,31.89%,2,, , , ,, , , , , , , , , 
UNITED LUBAVITCHER SCHOOL,LUBAVITCHER SCHOOL CHABAD,2.78%,2,, , , ,, , , , , , , , , 
